code	name	safename
HBZ	Helbiz	helbiz
LOCI	LOCIcoin	locicoin
LALA	LALA World	lala-world
ADH	AdHive	adhive
GIC	Giant	giant-coin
ETT	EncryptoTel [...	encryptotel
BTXC	Bettex Coin	bettex-coin
USNBT	NuBits	nubits
XGS	GenesisX	genesisx
IPSX	IP Exchange	ip-exchange
NPXSXEM	Pundi X NEM	pundi-x-nem
SRCOIN	SRCOIN	srcoin
NLX	Nullex	nullex
TBX	Tokenbox	tokenbox
WISH	MyWish	mywish
TRTT	Trittium	trittium
MTC	MTC Mesh Network	mtc-mesh-network
KRB	Karbo	karbo
RATING	DPRating	dprating
TX	TransferCoin	transfercoin
XCEL	XcelToken	xceltoken
FYP	FlypMe	flypme
ATB	ATBCoin	atbcoin
MNTP	GoldMint	goldmint
BRK	Breakout	breakout
METM	MetaMorph	metamorph
FLOT	Fire Lotto	fire-lotto
VOCO	Provoco Token	provoco-token
DIVX	Divi Exchange...	divi-exchange-token
MRT	Miners&#39; Rewar...	miners-reward-token
CANN	CannabisCoin	cannabiscoin
CCL	CYCLEAN	cyclean
SPX	Sp8de	sp8de
IND	Indorse Token	indorse-token
CCRB	CryptoCarbon	cryptocarbon
ZIPT	Zippie	zippie
UNIT	Universal Cur...	universal-currency
NXC	Nexium	nexium
SUMO	Sumokoin	sumokoin
ELIX	Elixir	elixir
EBST	eBoost	eboostcoin
QUAN	Quantis Network	quantis-network
GNR	Gainer	gainer
AUC	Auctus	auctus
OOT	Utrum	utrum
DOPE	DopeCoin	dopecoin
PTT	Proton Token	proton-token
FSBT	FSBT API Token	fsbt-api-token
MONK	Monkey Project	monkey-project
PFR	Payfair	payfair
MEDIC	MedicCoin	mediccoin
SND	SnodeCoin	snodecoin
TIG	Tigereum	tigereum
REF	RefToken	reftoken
HELP	GoHelpFund	gohelpfund
SPN	Sapien	sapien
HYP	HyperStake	hyperstake
GETX	Guaranteed Et...	guaranteed-ethurance-token-extra
XSG	SnowGem	snowgem
KNT	Kora Network ...	kora-network-token
BOUTS	BoutsPro	boutspro
SEXC	ShareX	sharex
KRL	Kryll	kryll
FTXT	FUTURAX	futurax
BUZZ	BuzzCoin	buzzcoin
HUC	HunterCoin	huntercoin
BBO	Bigbom	bigbom
PTS	PitisCoin	pitiscoin
SPD	Stipend	stipend
MFG	SyncFab	syncfab
APH	Aphelion	aphelion
S	Sharpay	sharpay
ORE	Galactrum	galactrum
XAP	Apollon	apollon
MTRC	ModulTrade	modultrade
WSD	White Standard	white-standard
BBP	BiblePay	biblepay
SCT	Soma	soma
NTRN	Neutron	neutron
AOG	smARTOFGIVING	smartofgiving
PENG	Penguin Coin	penguin-coin
IQN	IQeon	iqeon
RCT	RealChain	realchain
ZCR	ZCore	zcore
MVC	Maverick Chain	maverick-chain
NRVE	Narrative	narrative
FREC	Freyrchain	freyrchain
NAVI	Naviaddress	naviaddress
GCC	Global Crypto...	global-cryptocurrency
BEN	BitCoen	bitcoen
XMCT	XMCT	xmct
TOLL	Bridge Protocol	bridge-protocol
ZINC	ZINC	zinc
BON	Bonpay	bonpay
TCC	The ChampCoin	the-champcoin
MIC	Mindexcoin	mindexcoin
ORS	Origin Sport	origin-sport
PLU	Pluton	pluton
PYLNT	Pylon Network	pylon-network
EXMR	EXMR	exmr
TZC	TrezarCoin	trezarcoin
IONC	IONChain	ionchain
BOE	Bodhi [ETH]	bodhi-eth
TES	TeslaCoin	teslacoin
SPF	SportyCo	sportyco
PMNT	Paymon	paymon
XCASH	X-Cash	x-cash
JOT	Jury.Online T...	jury-online-token
STAK	STRAKS	straks
EGC	EverGreenCoin	evergreencoin
CFL	CryptoFlow	cryptoflow
WEB	Webcoin	webcoin
FGC	FantasyGold	fantasygold
RUP	Rupee	rupee
808	808Coin	808coin
ENGT	Engagement Token	engagement-token
ZEST	ZEST	zest
RTB	AB-Chain RTB	ab-chain-rtb
LDC	Leadcoin	leadcoin
ACE	ACE (TokenStars)	ace
MFIT	MFIT COIN	mfit-coin
KLKS	Kalkulus	kalkulus
DEM	Deutsche eMark	deutsche-emark
PYX	PyrexCoin	pyrexcoin
OCC	Octoin Coin	octoin-coin
CYFM	CyberFM	cyberfm
BIT	BitRewards	bitrewards
BTK	Bitcoin Token	bitcoin-token
ING	Iungo	iungo
ALT	Alt.Estate token	alt-estate-token
AUX	Auxilium	auxilium
DTX	DaTa eXchange	data-exchange
EGEM	EtherGem	ethergem
ACM	Actinium	actinium
STAC	StarterCoin	startercoin
LNC	Blocklancer	blocklancer
SGN	Signals Network	signals-network
EVI	Evimeria	evimeria
AIX	Aigang	aigang
HUR	Hurify	hurify
PRJ	Project Coin	project-coin
MORE	More Coin	more-coin
CSTL	Castle	castle
EZT	EZToken	eztoken
XBP	BlitzPredict	blitzpredict
XCLR	ClearCoin	clearcoin
WEB	Webchain	webchain
MAO	Mao Zedong	mao-zedong
ZXC	0xcert	0xcert
SMQ	SIMDAQ	simdaq
CFUN	CFun	cfun
FJC	FujiCoin	fujicoin
NOBS	No BS Crypto	no-bs-crypto
OCL	Oceanlab	oceanlab
ADI	Aditus	aditus
XCG	Xchange	xchange
WIZ	CrowdWiz	crowdwiz
MMO	MMOCoin	mmocoin
SUR	Suretly	suretly
NDX	nDEX	ndex
ELLA	Ellaism	ellaism
HNC	Helleniccoin	helleniccoin
XUN	UltraNote Coin	ultranote-coin
DEAL	iDealCash	idealcash
VSX	Vsync	vsync-vsx
ELY	Elysian	elysian
SHB	SkyHub Coin	skyhub-coin
PCN	PeepCoin	peepcoin
DDX	dietbitcoin	dietbitcoin
KLN	Kolion	kolion
ARC	Advanced Tech...	arcticcoin
BITGOLD	bitGold	bitgold
ENTS	EUNOMIA	eunomia
HUZU	HUZU	huzu
AMN	Amon	amon
RUPX	Rupaya	rupaya
APR	APR Coin	apr-coin
CRAVE	Crave	crave
SSS	Sharechain	sharechain
BTW	BitWhite	bitwhite
BIT	BitMoney	bitmoney
QNO	QYNO	qyno
AEG	Aegeus	aegeus
CDM	Condominium	condominium
WIX	Wixlar	wixlar
NCP	Newton Coin P...	newton-coin-project
HAND	ShowHand	showhand
ZET	Zetacoin	zetacoin
CL	Coinlancer	coinlancer
GENE	Parkgene	parkgene
GPKR	Gold Poker	gold-poker
ZNY	Bitzeny	bitzeny
DART	DarexTravel	darextravel
ARCT	ArbitrageCT	arbitragect
XGOX	XGOX	xgox
DFT	DraftCoin	draftcoin
XDNA	XDNA	xdna
FBN	Fivebalance	fivebalance
SCRIV	SCRIV NETWORK	scriv-network
BND	Blocknode	blocknode
CRC	CryCash	crycash
CATO	CatoCoin	catocoin
BEET	Beetle Coin	beetle-coin
AMM	MicroMoney	micromoney
BITEUR	bitEUR	biteur
TNS	Transcodium	transcodium
ASAFE2	AllSafe	allsafe
IG	IGToken	igtoken
DIT	Digital Insur...	digital-insurance-token
BRIA	BriaCoin	briacoin
IC	Ignition	ignition
ABS	Absolute	absolute
DOR	Dorado	dorado
BBK	Bitblocks	bitblocks
ETG	Ethereum Gold	ethereum-gold
BUNNY	BunnyToken	bunnytoken
BSM	Bitsum	bitsum
LOBS	Lobstex	lobstex
UNIFY	Unify	unify
TDX	Tidex Token	tidex-token
YUP	Crowdholding	crowdholding
EPY	Emphy	emphy
ACED	AceD	aced
BMH	BlockMesh	blockmesh
WTN	Waletoken	waletoken
BTX	Bitcoin X	bitcoin-x
AAA	Abulaba	abulaba
ELTCOIN	ELTCOIN	eltcoin
CYL	Crystal Token	crystal-token
NMS	Numus	numus
RLT	RouletteToken	roulettetoken
CYMT	CyberMusic	cybermusic
ITT	Intelligent T...	intelligent-trading-foundation
WHL	WhaleCoin	whalecoin
PHON	Phonecoin	phonecoin
DTRC	Datarius Credit	datarius-credit
ACC	AdCoin	adcoin
TELOS	Teloscoin	teloscoin
PUT	PutinCoin	putincoin
JET	Jetcoin	jetcoin
WIT	WITChain	witchain
BITS	Bitcoinus	bitcoinus
MCAP	MCAP	mcap
SOUL	CryptoSoul	cryptosoul
TOTO	Tourist Token	tourist-token
SNR	SONDER	sonder
TEAM	TEAM (TokenSt...	tokenstars
MICRO	Micromines	micromines
PKG	PKG Token	pkg-token
TYPE	Typerium	typerium
ITL	Italian Lira	italian-lira
NRP	Neural Protocol	neural-protocol
IQ	IQ.cash	iqcash
RPI	RPICoin	rpicoin
PSC	PrimeStone	primestone
MRI	Mirai	mirai
VIU	Viuly	viuly
VIKKY	VikkyToken	vikkytoken
TOK	Tokugawa	tokugawa
PROC	ProCurrency	procurrency
AREPA	Arepacoin	arepacoin
ALT	Altcoin	altcoin-alt
PAK	Pakcoin	pakcoin
SUBX	Sub Invest	sub-invest
TDS	TokenDesk	tokendesk
ZNT	Zenswap Netwo...	zenswap-network-token
DIN	Dinero	dinero
DEUS	DeusCoin	deuscoin
DELTA	DeltaChain	delta-chain
BTR	Bitether	bitether
DSR	Desire	desire
PAXEX	PAXEX	paxex
BZL	BZLCOIN	bzlcoin
DATP	Decentralized...	decentralized-asset-trading-platform
CMCT	Cyber Movie C...	cyber-movie-chain
AZART	Azart	azart
TCH	Thore Cash	thore-cash
BNC	Bionic	bionic
HAVY	Havy	havy
NYEX	Nyerium	nyerium
JOINT	Joint Ventures	joint-ventures
GOSS	Gossipcoin	gossipcoin
CTRT	Cryptrust	cryptrust
PLAN	Plancoin	plancoin
MFTU	Mainstream Fo...	mainstream-for-the-underground
YLC	YoloCash	yolocash
IMP	Ether Kingdom...	ether-kingdoms-token
ACTP	Archetypal Ne...	archetypal-network
KBR	Kubera Coin	kubera-coin
BTCONE	BitCoin One	bitcoin-one
KUN	KUN	kun
PNY	Peony	peony
XOV	XOVBank	xovbank
MODX	MODEL-X-coin	model-x-coin
SIM	Simmitri	simmitri
RGS	RusGas	rusgas
CREVA	CrevaCoin	crevacoin
PRL	Oyster	oyster
NEC	Nectar	nectar
SXDT	Spectre.ai Di...	spectre-dividend
DTR	Dynamic Tradi...	dynamic-trading-rights
CREDO	Credo	credo
RKT	Rock	rock
LKK	Lykke	lykke
UTT	United Trader...	uttoken
FAIR	FairCoin	faircoin
PPP	PayPie	paypie
BTN	BitNewChain	bitnewchain
MVL	Mass Vehicle ...	mass-vehicle-ledger
CFI	Cofound.it	cofound-it
XRL	Rialto	rialto
SOAR	Soarcoin	soarcoin
RBY	Rubycoin	rubycoin
SEM	Semux	semux
ZEUS	ZeusCrowdfunding	zeuscrowdfunding
ECOB	Ecobit	ecobit
ESP	Espers	espers
XES	Proxeus	proxeus
GRID	Grid+	grid
LFT	Linfinity	linfinity
ISR	Insureum	insureum
AC	AsiaCoin	asiacoin
FOOD	FoodCoin	food
GAM	Gambit	gambit
MYST	Mysterium	mysterium
PND	Pandacoin	pandacoin-pnd
HBT	Hubii Network	hubii-network
BC	Block-Chain.com	block-chain-com
NPW	New Power Coin	new-power-coin
CPY	COPYTRACK	copytrack
RMC	Russian Miner...	russian-mining-coin
CHIPS	CHIPS	chips
LMC	LoMoCoin	lomocoin
RVT	Rivetz	rivetz
STA	Starta	starta
MOTO	Motocoin	motocoin
X8X	X8X Token	x8x-token
FNKOS	FNKOS	fnkos
BDG	BitDegree	bitdegree
GZRO	Gravity	gravity
XSD	SounDAC	bitshares-music
REAL	REAL	real
OPEN	Open Platform	open-platform
SVD	savedroid	savedroid
CPAY	Cryptopay	cryptopay
ATMOS	Atmos	atmos
NBAI	Nebula AI	nebula-ai
FID	Fidelium	fidelium
RKC	Rookiecoin	rookiecoin
SONIQ	Soniq	soniq
CURE	Curecoin	curecoin
SHP	Sharpe Platfo...	sharpe-platform-token
BEE	Bee Token	bee-token
VIT	Vice Industry...	vice-industry-token
SMOKE	Smoke	smoke
LNC	Linker Coin	linker-coin
HEAT	HEAT	heat-ledger
XPD	PetroDollar	petrodollar
ETBS	Ethbits	ethbits
SETH	Sether	sether
FLUZ	Fluz Fluz	fluz-fluz
ZEIT	Zeitcoin	zeitcoin
HERO	Sovereign Hero	sovereign-hero
CRBT	Cruisebit	cruisebit
CBX	Bullion	bullion
HGT	HelloGold	hellogold
BQ	bitqy	bitqy
FDX	FidentiaX	fidentiax
PIX	Lampix	lampix
LUC	Level Up Coin	level-up
LDOGE	LiteDoge	litedoge
XNN	Xenon	xenon
UFO	Uniform Fisca...	uniform-fiscal-object
BLU	BlueCoin	bluecoin
NOKU	Noku	noku
SCL	Sociall	sociall
OBITS	OBITS	obits
LION	Coin Lion	coin-lion
BRX	Breakout Stake	breakout-stake
MAX	MaxCoin	maxcoin
OPT	Opus	opus
BBS	BBSCoin	bbscoin
GOOD	Goodomy	goodomy
ADL	Adelphoi	adelphoi
NET	Nimiq Exchang...	nimiq-exchange-token
SUPER	SuperCoin	supercoin
BTRN	Biotron	biotron
D	Denarius	denarius-dnr
MBI	Monster Byte	monster-byte
MANNA	Manna	manna
MNP	MNPCoin	mnpcoin
DAR	Darcrus	darcrus
WDC	WorldCoin	worldcoin
BPL	Blockpool	blockpool
ADC	AudioCoin	audiocoin
REX	imbrex	imbrex
ONG	SoMee.Social	ongsocial
SIG	Spectiv	signal-token
ATM	ATMChain	attention-token-of-media
RC	RussiaCoin	russiacoin
HUSH	Hush	hush
IXC	Ixcoin	ixcoin
HORSE	Ethorse	ethorse
PBL	Publica	publica
WAND	WandX	wandx
EFYT	Ergo	ergo
PWR	PWR Coin	powercoin
GCN	GCN Coin	gcn-coin
NOBL	NobleCoin	noblecoin
VME	VeriME	verime
C2C	C2C System	c2c-system
SHARD	Shard	shard
TROLL	Trollcoin	trollcoin
BUN	BunnyCoin	bunnycoin
RAIN	Condensate	condensate
UNI	Universe	universe
TALAO	Talao	talao
DAY	Chronologic	chronologic
HAC	Hackspace Cap...	hackspace-capital
BITS	Bitswift	bitswift
PASS	Blockpass	blockpass
PTC	Pesetacoin	pesetacoin
TIE	Ties.DB	tiesdb
DOW	DOWCOIN	dowcoin
CARBON	Carboncoin	carboncoin
EQL	Equal	equal
XCN	Cryptonite	cryptonite
EFL	e-Gulden	e-gulden
CAT	BlockCAT	blockcat
NDC	NEVERDIE	neverdie
TGT	Target Coin	target-coin
SKC	Skeincoin	skeincoin
ROBET	RoBET	robet
ZENI	Zennies	zennies
KOBO	Kobocoin	kobocoin
PING	CryptoPing	cryptoping
LYNX	Lynx	lynx
ORB	Orbitcoin	orbitcoin
EQT	EquiTrader	equitrader
DML	Decentralized...	decentralized-machine-learning
VOISE	Voise	voisecom
BIO	BioCoin	biocoin
Q2C	QubitCoin	qubitcoin
TRUMP	TrumpCoin	trumpcoin
SHPING	SHPING	shping
RPD	Rapids	rapids
SMLY	SmileyCoin	smileycoin
PHO	Photon	photon
HIRE	HireMatch	hirematch
BTB	Bitibu Coin	bitibu-coin
XMCC	Monoeci	monacocoin
EBTC	eBitcoin	ebtcnew
BTDX	Bitcloud	bitcloud
I0C	I0Coin	i0coin
POSW	PoSW Coin	posw-coin
C8	Carboneum [C8...	carboneum-c8-token
CRED	Verify	verify
CTX	CarTaxi Token	cartaxi-token
FT	Fabric Token	fabric-token
KEK	KekCoin	kekcoin
FLT	FlutterCoin	fluttercoin
BITSILVER	bitSilver	bitsilver
RIYA	Etheriya	etheriya
KNDC	KanadeCoin	kanadecoin
DCY	Dinastycoin	dinastycoin
FKX	Knoxstertoken	knoxstertoken
ARG	Argentum	argentum
FND	FundRequest	fundrequest
SMS	Speed Mining ...	speed-mining-service
CMPCO	CampusCoin	campuscoin
BTM	Bitmark	bitmark
WOMEN	WomenCoin	women
BLOC	BLOC.MONEY	bloc-money
DP	DigitalPrice	digitalprice
CDX	Commodity Ad ...	commodity-ad-network
TAG	TagCoin	tagcoin
VIVID	Vivid Coin	vivid-coin
LIVE	Live Stars	live-stars
FRC	Freicoin	freicoin
BITBTC	bitBTC	bitbtc
OPAL	Opal	opal
TRCT	Tracto	tracto
ELE	Elementrem	elementrem
SURE	SURETY	surety
CREA	CREA	crea
AIB	Advanced Inte...	advanced-internet-blocks
PGN	Pigeoncoin	pigeoncoin
DRPU	DCORP Utility	drp-utility
MOIN	Moin	moin
FRST	FirstCoin	firstcoin
VIEW	View	view
CDN	Canada eCoin	canada-ecoin
MXT	MarteXcoin	martexcoin
INN	Innova	innova
OPC	OP Coin	op-coin
PXC	Phoenixcoin	phoenixcoin
TRK	Truckcoin	truckcoin
ESZ	EtherSportz	ethersportz
FOR	FORCE	force
DGC	Digitalcoin	digitalcoin
POP	PopularCoin	popularcoin
NTK	NetKoin	netkoin
WELL	WELL	well
IRD	Iridium	iridium
ADZ	Adzcoin	adzcoin
BRO	Bitradio	bitradio
NER	Nerves	nerves
UTC	UltraCoin	ultracoin
LINX	Linx	linx
CTL	Citadel	citadel
XBL	Billionaire T...	billionaire-token
TKA	Tokia	tokia
XPTX	PlatinumBAR	platinumbar
NKA	IncaKoin	incakoin
MEC	Megacoin	megacoin
EL	Elcoin	elcoin-el
TRI	Triangles	triangles
QRK	Quark	quark
BTB	BitBar	bitbar
SGR	Sugar Exchange	sugar-exchange
SNRG	Synergy	synergy
ORI	Origami	origami
HODL	HOdlcoin	hodlcoin
BCF	Bitcoin Fast	bitcoinfast
PIGGY	Piggycoin	piggycoin
ECASH	Ethereum Cash	ethereumcash
BSTN	BitStation	bitstation
2GO	CoinToGo	cointogo
MORE	Mithril Ore	mithril-ore
RBIES	Rubies	rubies
NSR	NuShares	nushares
START	Startcoin	startcoin
KNT	Knekted	knekted
GAP	Gapcoin	gapcoin
BTCS	Bitcoin Scrypt	bitcoin-scrypt
XJO	Joulecoin	joulecoin
BLC	Blakecoin	blakecoin
MCI	Musiconomi	musiconomi
CAZ	Cazcoin	cazcoin
KZC	KZ Cash	kz-cash
XPY	PayCoin	paycoin2
TTC	TittieCoin	tittiecoin
FST	Fastcoin	fastcoin
PIPL	PiplCoin	piplcoin
SPR	SpreadCoin	spreadcoin
JC	Jesus Coin	jesus-coin
DTEM	Dystem	dystem
BDL	Bitdeal	bitdeal
UIS	Unitus	unitus
INSN	InsaneCoin	insanecoin-insn
SOL	Sola Token	sola-token
MAGE	MagicCoin	magiccoin
XMG	Magi	magi
WAGE	Digiwage	digiwage
NYAN	Nyancoin	nyancoin
SAGA	SagaCoin	sagacoin
TALK	BTCtalkcoin	btctalkcoin
PRIV	PRiVCY	privcy
SGP	SGPay	sgpay
WSP	Wispr	wispr
V	Version	version
EMD	Emerald Crypto	emerald
LWF	Local World F...	local-world-forwarders
BITS	Bitstar	bitstar
VIVO	VIVO	vivo
OPCX	OPCoinX	opcoinx
ITI	iTicoin	iticoin
STN	Steneum Coin	steneum-coin
RBT	Rimbit	rimbit
BWS	Bitcoin W Spe...	bitcoin-w-spectrum
GRWI	Growers Inter...	growers-international
CHESS	ChessCoin	chesscoin
VSL	vSlice	vslice
LCP	Litecoin Plus	litecoin-plus
IFLT	InflationCoin	inflationcoin
BTA	Bata	bata
USC	Ultimate Secu...	ultimate-secure-cash
ARCO	AquariusCoin	aquariuscoin
PASL	Pascal Lite	pascal-lite
XRA	Ratecoin	ratecoin
BRIT	BritCoin	britcoin
CCO	Ccore	ccore
J	Joincoin	joincoin
GOLF	Golfcoin	golfcoin
MTNC	Masternodecoin	masternodecoin
REC	Regalcoin	regalcoin
BTAD	Bitcoin Adult	bitcoin-adult
LTB	LiteBar	litebar
CRM	Cream	cream
MARS	Marscoin	marscoin
SCRT	SecretCoin	secretcoin
JIN	Jin Coin	jin-coin
STEEP	SteepCoin	steepcoin
GRPH	Graphcoin	graphcoin
WILD	Wild Crypto	wild-crypto
SMC	SmartCoin	smartcoin
BTCN	BitcoiNote	bitcoinote
PUREX	Pure	purex
CCT	Crystal Clear 	crystal-clear
HAL	Halcyon	halcyon
KED	Darsek	darsek
CROAT	CROAT	croat
GB	GoldBlocks	goldblocks
FANS	Fantasy Cash	fantasy-cash
ATH	Atheios	atheios
TOKC	TOKYO	tokyo
TEK	TEKcoin	tekcoin
ACC	Accelerator N...	accelerator-network
EGX	EagleX	eaglex
ARION	Arion	arion
BTWTY	Bit20	bit20
XXX	AdultChain	adultchain
BTCRED	Bitcoin Red	bitcoin-red
ARI	Aricoin	aricoin
ONX	Onix	onix
NETKO	Netko	netko
DAXX	DaxxCoin	daxxcoin
VOT	VoteCoin	votecoin
WGO	WavesGo	wavesgo
PRTX	Printex	printex
CMM	Commercium	commercium
XLC	Leviar	leviar
MNC	Mincoin	mincoin
DIX	Dix Asset	dix-asset
RNS	Renos	renos
SDRN	Senderon	senderon
IBTC	iBTC	ibtc
OBT	Orbis Token	orbis-token
C2	Coin2.1	coin2-1
HONEY	Honey	honey
CNO	Coin(O)	coin
VIDZ	PureVidz	purevidz
DGS	Dragonglass	dragonglass
BLAST	BLAST	blast
CRB	Creditbit	creditbit
NOX	Nitro	nitro
CASH	Cashcoin	cashcoin
EARTH	Earth Token	earth-token
GLT	GlobalToken	globaltoken
ICOO	ICO OpenLedger	ico-openledger
BOAT	BOAT	doubloon
ODN	Obsidian	obsidian
DUO	ParallelCoin	parallelcoin
BLZ	BlazeCoin	blazecoin
ATS	Authorship	authorship
ZBA	Zoomba	zoomba
QURO	Qurito	qurito
IMX	Impact	impact
CARE	Carebit	carebit
JEW	Shekel	shekel
GDC	GrandCoin	grandcoin
SIGT	Signatum	signatum
MNE	Minereum	minereum
XBTC21	Bitcoin 21	bitcoin-21
300	300 Token	300-token
SWING	Swing	swing
TIT	Titcoin	titcoin
HTH	Help The Home...	help-the-homeless-coin
ETHD	Ethereum Dark	ethereum-dark
BOST	BoostCoin	boostcoin
MBRS	Embers	embers
LANA	LanaCoin	lanacoin
BOLI	Bolivarcoin	bolivarcoin
BNN	BrokerNekoNet...	brokernekonetwork
XCO	X-Coin	x-coin
DACH	DACH Coin	dach-coin
SHDW	Shadow Token	shadow-token
IRL	IrishCoin	irishcoin
KURT	Kurrent	kurrent
GUESS	Peerguess	guess
GCC	GuccioneCoin	guccionecoin
QTL	Quatloo	quatloo
XRE	RevolverCoin	revolvercoin
EBET	EthBet	ethbet
IXE	IXTUS Edutain...	ixtus-edutainment
CRC	CrowdCoin	crowdcoin
BANK	Bank Coin	bank-coin
TSC	Thunderstake	thunderstake
INFX	Influxcoin	influxcoin
ESCE	Escroco Emerald	escroco-emerald
ATOM	Atomic Coin	atomic-coin
DMB	Digital Money...	digital-money-bits
SRC	SecureCoin	securecoin
CJ	Cryptojacks	cryptojacks
GMCN	GambleCoin	gamblecoin
EVIL	Evil Coin	evil-coin
BSTY	GlobalBoost-Y	globalboost-y
BERN	BERNcash	berncash
611	SixEleven	sixeleven
BIGUP	BigUp	bigup
FNTB	Fintab	fintab
PLURA	PluraCoin	pluracoin
DLC	Dollarcoin	dollarcoin
ZZC	ZoZoCoin	zozocoin
MSCN	Master Swiscoin	master-swiscoin
PKB	ParkByte	parkbyte
DTC	Datacoin	datacoin
ZUR	Zurcoin	zurcoin
SAKE	SAKECOIN	sakecoin
ALL	Allion	allion
ENT	Eternity	eternity
XSTC	Safe Trade Coin	safe-trade-coin
RPC	RonPaulCoin	ronpaulcoin
QBC	Quebecoin	quebecoin
8BIT	8Bit	8bit
DRXNE	DROXNE	droxne
HC	Harvest Maste...	harvest-masternode-coin
CHEESE	Cheesecoin	cheesecoin
SPK	Sparks	sparks
EZW	EZOOW	ezoow
CJT	ConnectJob	connectjob
QBIC	Qbic	qbic
TRDT	Trident Group	trident
GRLC	Garlicoin	garlicoin
XRH	Rhenium	rhenium
XIND	INDINODE	indinode
POS	PoSToken	postoken
GRMD	GreenMed	greenmed
NEVA	NevaCoin	nevacoin
AMS	AmsterdamCoin	amsterdamcoin
CNT	Centurion	centurion
ACRE	ACRE	acre
BRAT	BROTHER	brat
GSR	GeyserCoin	geysercoin
RED	RedCoin	redcoin
ACOIN	Acoin	acoin
VEC2	VectorAI	vector
DRM	Dreamcoin	dreamcoin
COAL	BitCoal	bitcoal
MOJO	MojoCoin	mojocoin
SOON	SoonCoin	sooncoin
JS	JavaScript Token	javascript-token
XCT	C-Bit	c-bit
NTWK	Network Token	network-token
EUC	Eurocoin	eurocoin
POST	PostCoin	postcoin
$$$	Money	money
HVCO	High Voltage	high-voltage
FOX	SmartFox	smartfox
FLIK	FLiK	flik
CPN	CompuCoin	compucoin
HBC	HomeBlockCoin	homeblockcoin
TAJ	TajCoin	tajcoin
MCRN	MACRON	macron
CF	Californium	californium
IMS	Independent M...	independent-money-system
KNC	KingN Coin	kingn-coin
SCS	SpeedCash	speedcash
MAY	Theresa May Coin	theresa-may-coin
NUKO	Nekonium	nekonium
BUMBA	BumbaCoin	bumbacoin
PEX	PosEx	posex
QVT	Qvolta	qvolta
ERY	Eryllium	eryllium
FUZZ	FuzzBalls	fuzzballs
TKR	CryptoInsight	trackr
CMT	Comet	comet
FLAX	Flaxscript	flaxscript
RAGNA	Ragnarok	ragnarok
SOIL	SOILcoin	soilcoin
LTCR	Litecred	litecred
JIYOX	JIYO	jiyo
FLM	FolmCoin	folmcoin
URALS	UralsCoin	uralscoin
ZYD	Zayedcoin	zayedcoin
ELS	Elysium	elysium
PLNC	PLNcoin	plncoin
PXI	Prime-XI	prime-xi
CNNC	Cannation	cannation
XCXT	CoinonatX	coinonatx
MAR	Marijuanacoin	marijuanacoin
APC	Alpha Coin	alpha-coin
ICON	Iconic	iconic
PLC	Polcoin	polcoin
DALC	Dalecoin	dalecoin
MILO	MiloCoin	milocoin
PNX	Phantomx	phantomx
CAB	Cabbage	cabbage
B@	Bankcoin	bankcoin
STR	Staker	staker
PCOIN	Pioneer Coin	pioneer-coin
VTA	Virtacoin	virtacoin
KRONE	Kronecoin	kronecoin
VLT	Veltor	veltor
SOCC	SocialCoin	socialcoin-socc
ADCN	Asiadigicoin	asiadigicoin
BTPL	Bitcoin Planet	bitcoin-planet
MST	MustangCoin	mustangcoin
OLMP	Olympic	olympic
BSC	BowsCoin	bowscoin
GRIM	Grimcoin	grimcoin
SONG	SongCoin	songcoin
AMMO	Ammo Reloaded	ammo-reloaded
ACP	AnarchistsPrime	anarchistsprime
OUR	Ourcoin	ourcoin
IBANK	iBank	ibank
BITF	BitF	bitf
BTQ	BitQuark	bitquark
VPRC	VapersCoin	vaperscoin
ARB	ARbit	arbit
PRC	PRCoin	prcoin
JIYO	Jiyo [OLD]	jiyo-old
NRO	Neuro	neuro
ECO	EcoCoin	ecocoin
ICOB	ICOBID	icobid
PLACO	PlayerCoin	playercoin
LTCU	LiteCoin Ultra	litecoin-ultra
RKC	Royal Kingdom...	royal-kingdom-coin
BENJI	BenjiRolls	benjirolls
WBB	Wild Beast Block	wild-beast-block
LUNA	Luna Coin	luna-coin
ROCK	Rocketcoin	rocketcoin
CXT	Coinonat	coinonat
LBTC	LiteBitcoin	litebitcoin
VOLT	Bitvolt	bitvolt
GEERT	GeertCoin	geertcoin
BENZ	Benz	benz
DOLLAR	Dollar Online	dollar-online
CONX	Concoin	concoin
NTO	Fujinto	fujinto
CTIC2	Coimatic 2.0	coimatic-2
BSX	Bitspace	bitspace
PONZI	PonziCoin	ponzicoin
ITZ	Interzone	interzone
COUPE	Coupecoin	coupecoin
NANOX	Project-X	project-x
SANDG	Save and Gain	save-and-gain
ARGUS	Argus	argus
CTIC3	Coimatic 3.0	coimatic-3
MGM	Magnum	magnum
YTN	YENTEN	yenten
SHADE	SHADE Token	shade-token
AI	POLY AI	poly-ai
HMC	HarmonyCoin	harmonycoin-hmc
BLN	Bolenum	bolenum
CJS	CJs	cjs
CKUSD	CK USD	ckusd
ZB	ZB	zb
XIN	Infinity Econ...	infinity-economics
TMTG	The Midas Tou...	the-midas-touch-gold
PAI	Project Pai	project-pai
HYC	HYCON	hycon
DEX	DEX	dex
ABBC	Alibabacoin	alibabacoin
DAC	Davinci Coin	davinci-coin
BU	BUMO	bumo
CWV	CWV Chain	cwv-chain
